,BuildingType,PrimaryPropertyType,PropertyName,Address,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
0,nonresidential,hotel,mayflower park hotel,405 olive way,downtown,12.121212121212121,0.8287686014770211,0.0,0.9101896416258433,hotel,hotel,0.888700413334049,,,,,59.5959595959596,9.791466270479653,6.965648854961832,0.8268871070522,1.484979012246433,0.6180016225999926,0.6180016736291251,0.4284707511354138,0.428470774632522,False,compliant,,1.4863873284265205,8.35532102022867
1,nonresidential,hotel,paramount hotel,724 pine street,downtown,11.111111111111112,0.9913232227624595,2.938697796366814,0.910919527892389,"hotel, parking, restaurant",hotel,0.8398089001019915,parking,2.193520203858755,restaurant,1.0053333565344493,60.60606060606061,11.36145736790561,6.721374278625954,0.9598015118280713,0.0,0.5110042415202984,0.5110042744637461,1.727064855710972,1.7270649762175696,False,compliant,,1.7583206988237163,8.443271767810023
2,nonresidential,hotel,5673-the westin seattle,1900 5th avenue,downtown,41.41414141414142,10.149727072165895,38.37591297833822,8.111998900877152,hotel,hotel,8.060947984325514,,,,,42.42424242424243,11.50527291379595,9.232824194656489,8.305876474490258,15.981919123221505,7.553690091274472,7.553690052216057,0.5014282885042076,0.5014282885042076,False,compliant,,12.388023077588732,6.479038405159776
3,nonresidential,hotel,hotel max,620 stewart st,downtown,10.101010101010102,0.5374980489041045,0.0,0.6191582264622413,hotel,hotel,0.5976058833002308,,,,,55.55555555555556,13.279002859530596,8.251908278625955,0.7774802201499253,1.6410178867806675,0.43889016289326355,0.4388901004955637,0.6079752830562353,0.6079752541883595,False,compliant,,1.702428552292645,13.74963353855174
4,nonresidential,hotel,warwick seattle hotel (id8),401 lenora st,downtown,18.181818181818183,1.7649293883221713,12.095012173044509,1.1800972895458821,"hotel, parking, swimming pool",hotel,1.2645767351978097,parking,9.903021477975974,swimming pool,0.0,74.74747474747475,13.75838923093876,8.068702057251908,1.6217211874896467,0.0,0.8344657360562762,0.8344657738041664,2.955264338438919,2.9552641914141566,False,compliant,,2.9979646486618483,8.501905599530927
5,nonresidential cos,other,west precinct,810 virginia st,downtown,2.0202020202020203,0.9238821764744618,7.256617142143704,0.6059558719350144,police station,police station,0.8929518492672714,,,,,,16.311122018227017,12.072518618320611,1.3830287282558595,0.0,1.1392220405377318,1.139222022564361,1.5827590442047739,1.5827591647113715,False,compliant,,1.7935866873560466,9.14687774846086
6,nonresidential,hotel,camlin,1619 9th avenue,downtown,11.111111111111112,0.7704801151503764,0.0,0.8519490110041088,hotel,hotel,0.8126684202050566,,,,,26.262626262626263,8.48513913945662,5.595420080152672,0.6589585476312148,0.0,0.44532517555740525,0.4453252277014169,0.9894229707729542,0.9894229445904621,False,compliant,,1.0487334472118532,6.273819994136616
7,nonresidential,other,paramount theatre,911 pine st,downtown,8.080808080808081,0.9826755575407586,0.0,1.0639702378141196,other - entertainment/public assembly,other - entertainment/public assembly,1.042514359332224,,,,,,7.346596050746712,5.408396828244275,0.7206729161274892,1.6868446736683547,0.5709267661234754,0.5709266890241448,0.12929754176610977,0.12929753716739004,False,compliant,,1.317644018591992,6.391087657578422
8,nonresidential,hotel,311wh-pioneer square,612 2nd ave,downtown,15.151515151515152,1.6403600393646016,0.0,1.721114751001447,hotel,hotel,1.699801384937463,,,,,42.42424242424243,10.031159456183735,6.904579919847328,1.5703681925041988,0.0,1.1280357818164903,1.128035756537587,2.157000963381435,2.157000963381435,False,compliant,,2.3290962779268107,7.065376722368805
9,multifamily mr (5-9),mid-rise multifamily,lyon building,607 - 3rd ave.,downtown,6.0606060606060606,0.5631939684200157,0.29184093888507395,0.6287755513861399,multifamily housing,multifamily housing,0.5419077781952869,,,,,0.0,9.767497317441354,6.9732823244274815,0.5233611283452623,0.7704969316926342,0.40284133311822334,0.4028413063972572,0.3363530396866157,0.3363530474070941,False,compliant,,0.9004384836691802,7.006742890647903
10,nonresidential,hotel,hotel monaco seattle,1101 4th avenue,downtown,11.111111111111112,1.5241160823906572,3.7609635432923403,1.3980327418392278,hotel,hotel,1.3766493102152557,,,,,29.292929292929294,14.333652325334231,8.709923545801527,1.8327279349527479,3.8810073902360998,0.9590904239923288,0.9590903483977656,1.5413599454867088,1.5413599454867088,False,compliant,,4.101878995577231,13.280562884784516
11,nonresidential,hotel,5679-w seattle,1112 fourth avenue,downtown,25.252525252525253,3.4578951625820142,11.931339347025407,2.8806786224899428,hotel,hotel,3.5534274518224276,,,,,35.35353535353536,9.587727428163292,7.595419847328245,3.0827759482969608,4.445832853132203,2.769133945374221,2.7691339448439347,0.9595882652085032,0.9595883306647331,False,compliant,,4.396512993886834,6.566989152741131
12,nonresidential,hotel,executive pacific plaza,400 spring street,downtown,9.090909090909092,0.5771269147461598,0.0,0.6587545564223551,hotel,hotel,0.6372108003650223,,,,,47.474747474747474,12.164429174482176,5.8625956526717555,0.7547635347832283,1.227441884992185,0.22191712294893126,0.22191716710834072,1.2073166899959382,1.2073166638134463,False,compliant,,1.9501795305533858,14.863676341248896
